,airport,year,semester,traffic,period
114,marrakech,2018,s1,2550611.0,2018_s1
115,marrakech,2018,s2,2730013.0,2018_s2
116,marrakech,2019,s1,3146234.0,2019_s1
117,marrakech,2019,s2,3252911.0,2019_s2
118,marrakech,2020,s1,0.0,2020_s1
119,marrakech,2020,s2,1508780.0,2020_s2
120,marrakech,2021,s1,667002.0,2021_s1
121,marrakech,2021,s2,858489.0,2021_s2
122,marrakech,2022,s1,2264759.0,2022_s1
123,marrakech,2022,s2,2638922.0,2022_s2
124,marrakech,2023,s1,3464327.0,2023_s1
125,marrakech,2023,s2,3439637.0,2023_s2
126,marrakech,2024,s1,4492705.0,2024_s1
127,marrakech,2024,s2,,2024_s2
128,rabat_sale,2009,s1,,2009_s1
129,rabat_sale,2009,s2,,2009_s2
130,rabat_sale,2010,s1,164133.0,2010_s1
131,rabat_sale,2010,s2,202683.0,2010_s2
132,rabat_sale,2011,s1,166103.0,2011_s1
133,rabat_sale,2011,s2,206042.0,2011_s2
134,rabat_sale,2012,s1,157493.0,2012_s1
135,rabat_sale,2012,s2,194374.0,2012_s2
136,rabat_sale,2013,s1,191998.0,2013_s1
137,rabat_sale,2013,s2,293715.0,2013_s2
138,rabat_sale,2014,s1,324931.0,2014_s1
139,rabat_sale,2014,s2,359282.0,2014_s2
140,rabat_sale,2015,s1,327156.0,2015_s1
141,rabat_sale,2015,s2,378794.0,2015_s2
142,rabat_sale,2016,s1,409077.0,2016_s1
143,rabat_sale,2016,s2,464092.0,2016_s2
144,rabat_sale,2017,s1,454387.0,2017_s1
145,rabat_sale,2017,s2,470299.0,2017_s2
146,rabat_sale,2018,s1,454387.0,2018_s1
147,rabat_sale,2018,s2,533308.0,2018_s2
148,rabat_sale,2019,s1,527771.0,2019_s1
149,rabat_sale,2019,s2,573346.0,2019_s2
150,rabat_sale,2020,s1,0.0,2020_s1
151,rabat_sale,2020,s2,299333.0,2020_s2
152,rabat_sale,2021,s1,146193.0,2021_s1
153,rabat_sale,2021,s2,322682.0,2021_s2
154,rabat_sale,2022,s1,417507.0,2022_s1
155,rabat_sale,2022,s2,455798.0,2022_s2
156,rabat_sale,2023,s1,553697.0,2023_s1
157,rabat_sale,2023,s2,647979.0,2023_s2
158,rabat_sale,2024,s1,777008.0,2024_s1
159,rabat_sale,2024,s2,,2024_s2
160,tanger,2009,s1,,2009_s1
161,tanger,2009,s2,,2009_s2
162,tanger,2010,s1,366224.0,2010_s1
163,tanger,2010,s2,401579.0,2010_s2
164,tanger,2011,s1,370619.0,2011_s1
165,tanger,2011,s2,479263.0,2011_s2
166,tanger,2012,s1,356111.0,2012_s1
167,tanger,2012,s2,431484.0,2012_s2
168,tanger,2013,s1,357207.0,2013_s1
169,tanger,2013,s2,465052.0,2013_s2
170,tanger,2014,s1,354887.0,2014_s1
171,tanger,2014,s2,411477.0,2014_s2
172,tanger,2015,s1,328957.0,2015_s1
173,tanger,2015,s2,458442.0,2015_s2
174,tanger,2016,s1,359719.0,2016_s1
175,tanger,2016,s2,488924.0,2016_s2
176,tanger,2017,s1,505222.0,2017_s1
177,tanger,2017,s2,568955.0,2017_s2
