Airport,Year,Month,Traffic
CASABLANCA,2009,Dec,6395862
MARRAKECH,2009,Dec,3003186
AGADIR,2009,Dec,1456217
FES_SAISS,2009,Dec,530432
TANGER,2009,Dec,654025
RABAT_SALE,2009,Dec,362738
CASABLANCA,2010,Jun,3359694
MARRAKECH,2010,Jun,1716613
AGADIR,2010,Jun,762741
FES_SAISS,2010,Jun,392809
TANGER,2010,Jun,366224
RABAT_SALE,2010,Jun,164133
CASABLANCA,2021,Jun,1238912
MARRAKECH,2021,Jun,667002
AGADIR,2021,Jun,218518
FES_SAISS,2021,Jun,186725
TANGER,2021,Jun,129575
RABAT_SALE,2021,Jun,146193
CASABLANCA,2020,Jun,0
MARRAKECH,2020,Jun,0
AGADIR,2020,Jun,0
FES_SAISS,2020,Jun,0
TANGER,2020,Jun,0
RABAT_SALE,2020,Jun,0
